episode,episode time,episode_reward,running_reward,steps_done
66,4.678748660720885,105.0,98.07,15875
67,2.645693817175925,84.0,33.18,15983
68,7.965910654515028,168.0,137.13,16313
69,6.12316414155066,63.0,58.38,16573
70,7.857684089802206,189.0,189.0,16901
71,7.450664922595024,189.0,165.27,17202
72,4.737881083972752,168.0,130.62,17398
73,11.001018013805151,231.0,227.85,17840
74,5.230195663869381,105.0,95.34,18054
75,3.010311829857528,42.0,33.39,18182
76,5.635968436487019,84.0,57.12,18405
77,6.914004555903375,126.0,113.19,18688
78,5.189135340042412,105.0,93.87,18903
79,4.2932789120823145,63.0,43.05,19079
80,8.127936681732535,189.0,176.19,19417
81,6.746056553907692,84.0,62.37,19690
82,9.11424164660275,231.0,214.41,20070
83,4.334041689522564,63.0,62.16,20246
84,6.465714898891747,189.0,179.34,20518
85,7.465694205835462,147.0,122.43,20838
86,5.4278522143140435,105.0,81.9,21057
87,1.8704829420894384,42.0,34.23,21134
88,3.1044436935335398,42.0,19.74,21260
89,4.620679802261293,147.0,71.19,21451
90,4.902269675396383,63.0,23.52,21659
91,2.2036136612296104,42.0,20.16,21752
92,5.284169739112258,105.0,105.0,21975
93,7.321532268077135,168.0,154.77,22275
94,4.800885519012809,126.0,123.48,22463
95,6.4796731332316995,84.0,57.96,22724
96,6.705097697675228,189.0,166.11,22995
97,8.921187657862902,147.0,117.81,23362
98,1.127512525767088,63.0,95.55,23407
99,7.00689300801605,168.0,150.15,23693
100,6.23715390637517,126.0,126.0,23950
101,9.198157266713679,168.0,168.0,24323
102,5.4577178452163935,147.0,124.11,24552
103,2.8862242391332984,42.0,9.66,24668
104,6.301852824166417,105.0,87.36,24925
105,9.01749181561172,168.0,122.22,25294
106,6.761182853020728,126.0,105.63,25571
107,3.3409937899559736,42.0,20.16,25706
108,7.973401905037463,189.0,160.02,26037
109,4.686018333770335,63.0,36.33,26233
110,7.30938742030412,126.0,126.0,26531
111,5.909734428860247,105.0,77.7,26776
112,6.259405485354364,210.0,174.93,27033
113,9.414420642890036,210.0,192.15,27419
114,6.347257825545967,168.0,145.53,27681
115,2.3644457310438156,0.0,3.36,27780
116,1.3464900311082602,21.0,11.13,27838
117,3.7332451408728957,84.0,66.36,27994
118,3.0625660326331854,84.0,46.62,28118
119,1.2281942227855325,0.0,34.44,28169
120,5.545741617679596,147.0,135.24,28394
121,7.53293533064425,147.0,147.0,28700
122,7.376590800471604,126.0,120.54,29007
123,2.4513568924739957,63.0,47.46,29110
124,4.213567034341395,105.0,82.32,29286
125,7.139481225050986,105.0,102.69,29581
126,5.859830172732472,147.0,116.13,29841
127,6.774115794338286,126.0,99.54,30121
128,8.674620155245066,210.0,209.16,30471
129,2.2099540065973997,63.0,48.72,30566
130,8.103635035455227,147.0,147.0,30906
131,4.485024627298117,84.0,61.74,31099
132,6.95420655887574,273.0,220.29,31389
133,5.214161075651646,105.0,81.69,31598
134,1.5368030313402414,0.0,34.02,31661
135,4.791685896925628,63.0,49.56,31860
136,8.429642159491777,168.0,140.28,32198
137,4.783231309615076,84.0,61.32,32393
138,0.623249676078558,0.0,51.24,32418
139,4.695055117830634,84.0,77.28,32606
140,4.486190354451537,147.0,105.0,32797
141,2.555651905015111,42.0,34.02,32905
142,6.326985466293991,21.0,21.0,33164
143,4.671343041583896,147.0,120.75,33356
144,5.072358503006399,84.0,70.14,33563
145,5.661426647566259,105.0,99.96,33794
146,2.811739632859826,0.0,0.0,33905
147,8.571760847233236,189.0,142.8,34254
148,3.7505512442439795,63.0,55.23,34409
149,2.6873501939699054,42.0,38.22,34522
150,5.118889603763819,42.0,42.0,34724
151,6.479992827400565,147.0,117.39,34998
152,10.625325517728925,231.0,200.97,35431
153,7.841228875331581,189.0,173.88,35753
154,5.412869532592595,84.0,53.76,35974
155,2.2239032201468945,42.0,17.85,36069
156,7.7425436256453395,231.0,191.94,36389
157,5.641732442192733,63.0,55.65,36619
158,4.526517824269831,84.0,59.01,36801
159,7.960470665246248,252.0,221.55,37122
160,4.9919292237609625,84.0,60.9,37325
161,6.162374880164862,105.0,92.4,37580
162,4.8423376474529505,84.0,74.55,37778
163,1.144291328266263,21.0,53.76,37822
164,9.102006577886641,168.0,166.95,38192
165,6.940737430937588,147.0,135.66,38481
166,4.648213419131935,84.0,52.5,38669
167,2.7854848373681307,42.0,16.17,38786
168,6.797090324573219,189.0,149.73,39057
169,6.5798629792407155,126.0,118.44,39332
170,5.574667578563094,63.0,63.0,39563
171,6.279540163464844,63.0,46.83,39819
172,8.515797551721334,273.0,254.52,40171
173,4.423895639367402,42.0,42.0,40348
174,1.9812645660713315,0.0,7.98,40430
175,3.082821764983237,21.0,2.31,40559
176,7.2924631563946605,189.0,165.06,40850
177,7.653363512828946,147.0,111.93,41171
178,1.9015627773478627,63.0,64.05,41246
179,5.299988952465355,105.0,87.78,41460
180,8.711214859969914,210.0,207.9,41816
181,4.106223716400564,105.0,79.8,41981
182,4.9996132012456656,105.0,105.0,42182
183,7.1236049216240644,126.0,102.06,42470
184,8.009677724912763,189.0,145.53,42796
185,11.27366585098207,231.0,223.65,43246
186,1.014813750050962,0.0,140.91,43286
187,9.320470144972205,147.0,130.83,43654
188,6.810197862796485,147.0,118.65,43929
189,5.813573444262147,105.0,79.8,44160
190,7.748762784525752,126.0,125.37,44475
191,5.486213017255068,0.0,0.0,44704
192,5.025083866901696,126.0,98.91,44898
193,7.682015468366444,126.0,97.23,45217
194,7.039900694042444,189.0,180.6,45507
195,5.6771884029731154,126.0,69.51,45735
196,7.062401438131928,168.0,142.8,46030
197,6.965948909521103,63.0,52.08,46321
198,6.866425632499158,21.0,21.0,46595
199,4.636745477095246,126.0,105.21,46792
200,5.057444372214377,105.0,68.25,47002
201,1.6597381383180618,42.0,38.85,47069
202,4.366149388253689,84.0,65.52,47245
203,3.2184875644743443,84.0,75.18,47379
204,6.878986082971096,168.0,161.91,47671
205,4.552405414171517,21.0,21.0,47858
206,6.068670122884214,84.0,63.0,48104
207,1.4669771501794457,42.0,44.94,48163
208,5.431495591066778,147.0,129.57,48383
209,3.0771821159869432,63.0,48.51,48513
210,7.3625304494053125,168.0,150.57,48814
211,7.121388163417578,63.0,51.03,49106
212,3.949526535347104,105.0,56.91,49266
213,8.978701394982636,273.0,229.32,49641
214,7.154150987975299,168.0,144.9,49935
215,5.173299429938197,84.0,79.38,50143
216,5.080793802626431,168.0,140.49,50351
217,6.589813659898937,84.0,76.65,50610
218,6.255789110437036,105.0,74.34,50862
219,1.1225674645975232,21.0,50.82,50909
220,7.441429509781301,210.0,182.49,51219
221,8.641115684993565,126.0,91.77,51560
222,5.539165831170976,147.0,113.82,51787
223,3.1414801459759474,63.0,32.76,51910
224,6.56542122643441,189.0,171.15,52172
225,6.581681246869266,105.0,65.73,52445
226,11.503327026963234,273.0,253.05,52908
227,6.339622414670885,189.0,133.77,53166
228,6.56532193813473,147.0,130.2,53424
229,1.9989356296136975,21.0,39.69,53505
230,6.4235726818442345,105.0,66.78,53772
231,4.685113420709968,84.0,73.08,53966
232,5.938517604954541,147.0,112.14,54209
233,10.110703125596046,273.0,267.75,54616
234,8.573129029944539,189.0,174.3,54971
235,2.1145311882719398,21.0,42.21,55056
236,6.273133563809097,189.0,168.63,55315
237,5.670935924164951,63.0,46.2,55553
238,6.43303263746202,126.0,124.95,55813
239,6.012271067127585,63.0,49.35,56066
240,6.680034490302205,168.0,150.57,56342
241,3.3515498200431466,42.0,36.33,56477
242,4.140287027694285,126.0,96.18,56646
243,5.284017155878246,84.0,80.43,56860
244,7.022063182666898,210.0,204.54,57148
245,5.5895614651963115,105.0,82.95,57375
246,4.1939981412142515,84.0,69.93,57547
247,3.8452382180839777,42.0,39.69,57703
248,4.795620154589415,105.0,70.35,57900
249,8.208861018531024,147.0,138.81,58232
250,6.009591559879482,189.0,148.47,58463
251,1.888523792847991,63.0,74.76,58540
252,3.697687671519816,147.0,86.73,58693
253,5.953166643157601,126.0,111.51,58936
254,7.072545209899545,147.0,143.85,59223
255,1.519014099612832,21.0,69.09,59285
256,5.06534213386476,168.0,157.08,59494
257,7.103232420049608,105.0,101.85,59785
258,3.8127644481137395,84.0,65.94,59941
259,1.9488357594236732,21.0,18.69,60029
260,4.990062383003533,147.0,139.02,60240
261,6.950954655185342,168.0,126.63,60536
262,8.031279306858778,126.0,99.75,60873
263,6.378106884658337,126.0,104.79,61136
264,5.651849769987166,168.0,122.64,61366
265,8.731255385093391,84.0,75.6,61719
266,3.774280110374093,84.0,67.83,61881
267,8.334752148017287,168.0,146.16,62212
268,8.891516918316483,168.0,168.0,62567
269,6.520802590064704,126.0,119.07,62829
270,8.37759601790458,84.0,84.0,63171
271,0.4188498882576823,0.0,69.72,63189
272,7.569680834189057,189.0,181.86,63494
273,8.80819096788764,231.0,202.65,63851
274,0.6367796706035733,0.0,158.76,63879
275,2.049880536273122,42.0,19.95,63967
276,7.74535617697984,189.0,159.81,64286
277,6.613986074924469,126.0,100.8,64579
278,0.2065604692324996,0.0,95.13,64589
279,4.790292558260262,63.0,63.0,64787
280,10.219401997514069,168.0,160.23,65190
281,8.312280745245516,126.0,91.77,65517
282,8.47723476588726,126.0,111.09,65854
283,6.824278889223933,126.0,111.93,66127
284,5.21330523584038,210.0,161.91,66336
285,8.422828787006438,189.0,189.0,66673
286,6.2055011466145515,126.0,89.67,66926
287,5.701806077733636,84.0,84.0,67171
288,8.005718517117202,168.0,158.13,67493
289,6.439599804580212,126.0,73.5,67757
290,5.191078566946089,105.0,103.32,67970
291,0.26677215192466974,0.0,94.5,67981
292,7.890594931319356,168.0,127.26,68289
293,8.527734702453017,84.0,64.26,68628
294,7.453507795929909,147.0,141.96,68932
295,8.709104769863188,168.0,159.18,69283
296,7.743580195121467,189.0,183.12,69607
297,6.686799818649888,105.0,95.97,69882
298,2.544627310708165,63.0,36.33,69989
299,6.059251510538161,105.0,92.4,70231
300,5.2395977303385735,189.0,165.06,70445
301,8.170870593748987,147.0,111.93,70783
302,4.9085171315819025,105.0,99.96,70984
303,1.4285922264680266,21.0,58.38,71039
304,4.815062704496086,168.0,120.75,71230
305,5.828277783468366,105.0,83.16,71462
306,5.215334576554596,105.0,94.71,71670
307,7.172591323032975,21.0,6.93,71959
308,7.182751088403165,147.0,113.19,72260
309,2.1260025268420577,63.0,49.35,72348
310,7.202751290053129,126.0,126.0,72642
311,3.919721041806042,105.0,80.43,72803
312,7.719378444366157,168.0,127.05,73120
313,0.6338375471532345,21.0,106.26,73147
314,2.7390311984345317,42.0,28.56,73256
315,4.910555860958993,168.0,145.32,73454
316,6.249804969877005,189.0,169.68,73710
317,7.795748916454613,147.0,131.04,74030
318,5.9573053531348705,84.0,69.51,74272
319,7.34270060993731,168.0,135.03,74565
320,7.561683150008321,168.0,140.49,74871
321,6.950224921107292,210.0,192.36,75164
322,1.433763342909515,21.0,101.43,75221
323,6.388021560385823,0.0,0.0,75467
324,9.045231660827994,189.0,175.98,75831
325,6.19408901501447,126.0,122.43,76083
326,1.857339701615274,42.0,40.32,76159
327,4.95253187045455,105.0,86.31,76366
328,5.952169897034764,210.0,175.77,76608
329,5.539039826951921,105.0,67.41,76833
330,6.172761405818164,126.0,112.98,77088
331,3.086830678395927,42.0,34.86,77213
332,5.240730497986078,126.0,100.17,77422
333,4.105031444691122,105.0,78.96,77589
334,1.4695221288129687,42.0,52.5,77647
335,2.7094553066417575,84.0,47.67,77763
336,7.889715893194079,231.0,201.18,78084
337,4.324501369148493,84.0,80.22,78253
338,7.325858629308641,84.0,84.0,78552
339,2.107096263207495,42.0,31.5,78636
340,4.512875059619546,147.0,102.69,78814
341,5.8800418972969055,147.0,128.94,79056
342,8.590956846252084,252.0,212.1,79400
343,4.054717261344194,63.0,63.0,79565
344,7.943699697032571,231.0,202.02,79891
345,5.43677565921098,168.0,149.31,80107
346,7.139365338720381,168.0,132.3,80395
347,6.290414121933281,63.0,52.5,80647
348,8.61794785875827,231.0,218.61,80998
349,5.836253360845149,189.0,159.6,81227
350,4.966401383280754,84.0,59.01,81430
351,2.938515067100525,63.0,43.47,81549
352,5.950564336031675,126.0,104.37,81793
353,5.63439039606601,147.0,116.76,82011
354,4.1151157869026065,63.0,44.73,82176
355,5.877383938059211,126.0,91.35,82412
356,7.724042247980833,168.0,149.94,82722
357,6.374072107486427,147.0,120.96,82977
358,6.529070170596242,84.0,79.17,83240
359,5.291636675596237,126.0,97.44,83457
360,6.801607813686132,168.0,151.62,83734
361,8.050958722829819,147.0,114.45,84060
362,8.930120902135968,189.0,154.77,84411
363,8.923443097621202,168.0,133.98,84776
364,7.912702911533415,147.0,130.83,85095
365,7.8960348181426525,189.0,159.18,85416
366,6.283242235891521,147.0,120.75,85683
367,3.8922322131693363,84.0,57.33,85847
368,6.334360383450985,168.0,168.0,86103
369,5.826898152008653,42.0,33.39,86338
370,5.93552316352725,147.0,122.85,86579
371,7.391952604986727,168.0,141.96,86867
372,8.908583456650376,210.0,209.79,87221
373,5.913396421819925,42.0,42.0,87460
374,7.279898810200393,168.0,143.43,87754
375,5.94313187059015,42.0,33.6,87994
376,5.635706091299653,168.0,161.7,88220
377,5.4559726463630795,105.0,77.49,88441
378,8.295754390768707,147.0,147.0,88784
379,6.758919554762542,189.0,143.64,89062
380,6.377447017468512,126.0,97.44,89319
381,6.313532816246152,147.0,111.09,89576
382,6.909942497499287,189.0,164.64,89853
383,7.201087617315352,147.0,128.73,90146
384,9.519393608905375,273.0,224.49,90529
385,3.6291982792317867,84.0,55.02,90675
386,3.0399174951016903,42.0,19.74,90800
387,5.523818449117243,63.0,38.85,91032
388,6.595948738977313,168.0,153.51,91289
389,6.9773543095216155,168.0,133.35,91569
390,4.620432174764574,84.0,55.02,91760
391,6.700319896452129,168.0,160.23,92034
392,7.425276379100978,147.0,133.35,92328
393,4.6643580524250865,42.0,42.0,92519
394,5.511496363207698,126.0,83.37,92742
395,8.980436730198562,231.0,180.81,93099
396,5.95169182959944,189.0,166.74,93338
397,8.962093104608357,210.0,194.46,93707
398,9.28426062129438,231.0,204.12,94075
399,0.9856801144778728,21.0,142.17,94114
400,4.5809888783842325,105.0,85.47,94294
401,7.589643110521138,147.0,133.56,94603
402,6.032756973989308,63.0,63.0,94842
403,5.633375098928809,168.0,152.25,95079
404,5.349316488020122,168.0,137.13,95287
405,5.40221986733377,84.0,69.93,95510
406,1.4459470137953758,42.0,50.19,95570
407,4.492326809093356,84.0,84.0,95751
408,9.187838482670486,231.0,211.89,96120
409,6.9969515250995755,168.0,136.08,96391
410,3.7486178800463676,105.0,70.98,96530
411,3.052784664556384,105.0,61.95,96653
412,8.259048266336322,231.0,221.76,96991
413,5.938576920889318,168.0,134.19,97225
414,5.543712527491152,63.0,40.32,97450
415,7.32953333389014,189.0,173.04,97753
416,6.332877087406814,189.0,152.25,98010
417,7.681854992173612,189.0,169.05,98316
418,5.226601127535105,63.0,63.0,98533
419,6.394659710116684,105.0,81.27,98789
420,7.437961644493043,189.0,176.82,99080
421,5.183250803500414,84.0,79.8,99289
422,8.060661571100354,147.0,147.0,99611
423,4.6449593510478735,126.0,79.38,99804
424,7.155402405187488,189.0,157.5,100097
425,6.193671104498208,105.0,85.47,100335
426,0.966011798940599,0.0,59.22,100375
427,6.471894141286612,84.0,74.76,100637
428,7.489494415931404,210.0,161.7,100940
429,7.448643185198307,147.0,139.23,101245
430,8.821159104816616,147.0,119.28,101600
431,8.390271682292223,126.0,118.23,101937
432,6.159886891953647,168.0,151.41,102181
433,5.82547939941287,63.0,58.8,102424
434,7.0243671564385295,168.0,163.59,102719
435,8.386209106072783,105.0,92.4,103055
436,8.027726185508072,189.0,184.59,103377
437,9.724309065379202,210.0,199.5,103762
438,5.29693724680692,21.0,11.97,103969
439,2.0567440446466208,63.0,33.39,104052
440,7.839996586553752,189.0,185.64,104375
441,6.380222990177572,84.0,67.2,104632
442,0.23556921817362309,0.0,61.53,104642
443,3.9250423535704613,42.0,42.0,104799
444,4.73978665843606,63.0,62.37,104991
445,5.637563575990498,126.0,107.31,105224
446,5.637558047659695,84.0,74.97,105452
447,5.615167318843305,63.0,48.72,105679
448,7.481327670626342,168.0,168.0,105984
449,5.5763643169775605,126.0,95.55,106203
450,5.188618088141084,105.0,97.86,106413
451,5.587644794024527,189.0,170.94,106645
452,7.0397381549701095,231.0,208.53,106921
453,7.882430907338858,147.0,107.31,107244
454,3.1503103598952293,63.0,52.29,107374
455,0.7348647508770227,63.0,52.71,107402
456,5.667882828973234,147.0,119.28,107632
457,7.096734873950481,105.0,96.39,107922
458,5.637891001999378,105.0,80.64,108147
459,3.5873753177002072,42.0,25.41,108285
460,4.26449038553983,126.0,83.16,108460
461,6.563520085066557,126.0,108.36,108720
462,8.769489301368594,210.0,202.23,109071
463,7.517750496044755,189.0,185.22,109392
464,7.675874193198979,126.0,96.6,109695
465,12.524164439179003,315.0,294.63,110206
466,8.166632419452071,189.0,154.56,110541
467,1.5825263820588589,0.0,57.54,110608
468,5.056476444005966,126.0,107.31,110806
469,6.609762032516301,105.0,96.81,111069
470,6.8617177689448,168.0,153.3,111345
471,6.754625808447599,126.0,102.48,111614
472,5.588987363502383,147.0,116.55,111840
473,4.04688464384526,63.0,44.94,112010
474,3.83064953237772,105.0,69.51,112173
475,6.294523294083774,126.0,113.19,112430
476,6.109591527841985,189.0,161.07,112676
477,12.037807745859027,252.0,252.0,113151
478,3.142243563197553,42.0,32.97,113276
479,0.5843055406585336,21.0,35.49,113299
480,4.748159244656563,84.0,75.18,113495
481,6.021773662418127,147.0,130.83,113736
482,2.1739945374429226,84.0,62.37,113821
483,15.07767053693533,231.0,203.49,114431
484,9.1850043553859,210.0,206.43,114804
485,6.417927592992783,126.0,90.09,115073
486,5.1530337780714035,126.0,104.58,115287
487,0.6005555335432291,21.0,86.52,115312
488,6.030859470367432,105.0,95.55,115550
489,6.789110504090786,84.0,84.0,115822
490,4.73250518552959,42.0,14.49,116013
491,7.7626916859298944,189.0,176.4,116335
492,4.697672586888075,147.0,108.57,116529
493,5.571270135231316,63.0,63.0,116756
494,6.760569034144282,42.0,33.18,117033
495,8.430049841292202,231.0,210.63,117376
496,5.853590188547969,126.0,101.01,117605
497,6.770340085029602,147.0,116.34,117879
498,5.077798070386052,105.0,76.86,118086
499,6.036252195946872,105.0,84.21,118328
500,5.259684840217233,105.0,95.76,118536
501,5.574927633628249,63.0,63.0,118754
502,5.147668287158012,126.0,104.37,118965
503,5.261149934493005,147.0,128.1,119171
504,7.1667247880250216,189.0,151.62,119455
505,0.7971678227186203,0.0,111.3,119489
506,6.588858035393059,189.0,156.66,119761
507,5.306300335563719,168.0,129.78,119974
508,2.180413086898625,84.0,66.36,120062
509,1.3984634224325418,42.0,45.57,120119
510,5.984079682268202,147.0,112.77,120358
511,9.470014356076717,126.0,126.0,120731
512,5.621577387675643,147.0,132.51,120959
513,6.007559908553958,42.0,42.0,121200
514,5.91686384472996,84.0,44.1,121442
515,4.037614187225699,63.0,39.48,121610
516,9.864499563351274,210.0,201.18,122013
517,9.682803956791759,210.0,187.95,122402
518,7.701366242021322,189.0,166.95,122713
519,2.0040211649611592,84.0,74.34,122795
520,7.525089238770306,189.0,146.58,123101
521,5.827551967464387,63.0,42.0,123330
522,3.7399725075811148,105.0,71.82,123483
523,1.8513483721762896,21.0,36.75,123560
524,10.431408072821796,273.0,245.7,123978
525,0.4113893723115325,0.0,212.1,123995
526,8.401506559923291,147.0,147.0,124323
527,1.9333667689934373,21.0,38.64,124402
528,7.561496173031628,147.0,125.79,124707
529,6.165305730886757,147.0,86.94,124953
530,7.4646137254312634,105.0,91.98,125249
531,5.718400543555617,63.0,40.32,125475
532,9.659664082340896,252.0,217.98,125842
533,4.916668090969324,126.0,91.98,126039
534,2.925394526682794,21.0,7.77,126159
535,8.21612610667944,210.0,193.62,126481
536,7.0039961244910955,210.0,179.55,126769
537,3.945093210786581,105.0,76.65,126929
538,8.682522844523191,168.0,168.0,127269
539,2.2043738588690758,42.0,51.03,127354
540,4.795362160541117,84.0,70.35,127547
541,7.682935424149036,147.0,117.39,127851
542,6.019174716435373,189.0,183.33,128094
543,7.3106938963755965,147.0,109.83,128391
544,5.396527498029172,105.0,97.23,128605
545,5.509269002825022,168.0,126.21,128834
546,7.874861929565668,231.0,227.01,129150
547,6.814200225286186,126.0,120.54,129424
548,7.294306194409728,168.0,151.83,129716
549,5.51344058662653,168.0,109.2,129941
550,6.685052212327719,63.0,56.49,130209
551,0.7785429749637842,0.0,43.89,130240
552,5.608482288196683,147.0,129.15,130466
553,6.96354893501848,84.0,70.14,130744
554,7.653865568339825,147.0,128.31,131045
555,6.008824581280351,147.0,119.07,131285
556,8.579912692308426,189.0,146.79,131627
557,7.560670226812363,105.0,98.7,131934
558,7.773292044177651,147.0,128.73,132238
559,0.4015749990940094,0.0,111.93,132255
560,8.455663244239986,273.0,250.32,132592
561,3.3146109459921718,63.0,38.43,132726
562,2.6706258980557323,63.0,47.88,132836
563,5.134270599111915,84.0,62.79,133047
564,6.103047623299062,168.0,147.84,133289
565,1.7045352011919022,42.0,77.07,133360
566,1.4533039992675185,21.0,19.74,133420
567,7.809277022257447,126.0,116.97,133729
568,7.180657588876784,210.0,203.91,134020
569,5.17766794282943,42.0,31.5,134230
570,5.30090865958482,84.0,77.91,134444
571,2.4107625307515264,84.0,37.38,134545
572,6.740652352571487,147.0,118.23,134820
573,7.271324175409973,84.0,72.45,135112
574,10.997086267918348,231.0,204.75,135569
575,8.33831040468067,168.0,150.57,135906
576,6.3902474800124764,189.0,146.16,136160
577,0.832626043818891,0.0,111.51,136193
578,6.15281408559531,84.0,44.52,136439
579,1.264101792126894,42.0,40.11,136492
580,6.294837319292128,210.0,198.24,136749
581,0.4716672645881772,0.0,162.33,136769
582,0.6489907931536436,0.0,116.97,136794
583,5.702541867271066,105.0,85.05,137023
584,5.163972535170615,189.0,148.89,137236
585,8.600407003425062,210.0,182.7,137584
586,3.0530637139454484,42.0,24.36,137711
587,6.043065099976957,126.0,113.61,137956
588,7.1250071143731475,147.0,120.54,138241
589,2.658857962116599,63.0,43.47,138355
590,8.915955849923193,231.0,202.44,138703
591,4.2688917415216565,105.0,74.97,138870
592,5.641366746276617,147.0,127.89,139098
593,8.107159079052508,147.0,101.22,139419
594,6.386785086244345,126.0,105.21,139678
595,0.9111571870744228,21.0,77.49,139716
596,6.494564739055932,210.0,190.05,139973
597,5.041605254635215,84.0,68.88,140184
598,6.100368726067245,105.0,101.85,140429
599,8.169347652234137,252.0,247.38,140760
600,2.889924352057278,84.0,60.69,140880
601,3.201468384824693,84.0,54.6,141006
602,7.222056834027171,105.0,94.5,141289
603,6.792012455873191,147.0,135.87,141566
604,4.997340079396963,168.0,118.65,141762
605,4.57997071929276,147.0,99.33,141944
606,1.3523748070001602,21.0,67.2,141999
607,0.7228595511987805,21.0,41.37,142027
608,5.532004397362471,147.0,126.63,142251
609,4.810386010445654,105.0,88.41,142442
610,7.491581452079117,168.0,142.17,142745
611,5.602531548589468,84.0,68.04,142971
612,6.672209961339831,84.0,84.0,143246
613,6.514146362431347,168.0,129.99,143506
614,1.3655995009467006,21.0,73.92,143563
615,6.219657249748707,105.0,90.09,143811
616,7.591510197147727,189.0,169.26,144117
617,7.405628537759185,147.0,88.62,144408
618,11.206154017709196,273.0,248.01,144862
619,2.2657319670543075,21.0,46.2,144951
620,9.040445601567626,252.0,208.95,145318
621,9.547725153155625,168.0,168.0,145698
622,6.71766366250813,147.0,132.51,145958
623,4.140548836439848,84.0,64.47,146120
624,3.0904556307941675,84.0,61.32,146241
625,2.9361235378310084,42.0,19.74,146363
626,0.7082972498610616,21.0,23.1,146391
627,1.2831092746928334,21.0,15.75,146442
628,7.692239752970636,147.0,131.25,146746
629,4.108460450544953,21.0,6.09,146905
630,5.435408156365156,63.0,52.08,147119
631,6.232945800758898,147.0,126.84,147372
632,6.570879053324461,147.0,116.97,147631
633,0.50884142331779,21.0,99.54,147652
634,4.971383657306433,42.0,27.72,147847
635,1.9849613048136234,63.0,25.62,147929
636,9.46026878617704,231.0,211.89,148313
637,5.570020901039243,147.0,116.34,148531
638,5.768225130625069,126.0,108.36,148767
639,1.693765303120017,63.0,65.1,148840
640,6.31087189167738,189.0,160.02,149088
641,8.726902112364769,168.0,160.86,149440
642,3.5373687697574496,63.0,55.23,149588
643,1.550567309372127,21.0,29.82,149649
644,7.255317363888025,210.0,191.73,149938
645,4.082425106316805,84.0,52.29,150099
646,8.904793698340654,210.0,169.89,150451
647,6.692597538232803,147.0,134.4,150723
648,4.834366074763238,105.0,80.22,150916
649,7.604246696457267,147.0,129.99,151218
650,15.245114203542471,357.0,357.0,151825
651,1.6672217827290297,21.0,131.25,151893
652,10.869853521697223,294.0,273.21,152324
653,6.4672324219718575,84.0,84.0,152583
654,2.4638150548562407,0.0,4.2,152679
655,7.395993562415242,84.0,52.5,152975
